No,Math,Van,Anh,Ly,Hoa,Sinh,Su,Dia,GDCD,KhoiA,KhoiA1,KhoiB,KhoiD
'32001973,8.6,5,8.6,7.5,5.25,6.5,0,0,0,21.35,24.7,20.35,22.2
'32001927,8.6,6.75,6.8,7.75,8.5,6,0,0,0,24.85,23.15,23.1,22.15
'32001295,8.6,7.75,5.8,7.5,9,6.25,0,0,0,25.1,21.9,23.85,22.15
'32001641,8,8.75,5.4,0,0,0,8,8,8.75,8,13.4,8,22.15
'32000920,7.2,7.75,7.2,0,0,0,6.25,7.25,8,7.2,14.4,7.2,22.15
'32001914,7.8,7.75,6.6,0,0,0,3.75,6,7.5,7.8,14.4,7.8,22.15
'32002746,8.4,7.75,6,0,0,0,2.75,5,8,8.4,14.4,8.4,22.15
'32002593,8.8,6.75,6.6,8,8.25,5.25,0,0,0,25.05,23.4,22.3,22.15
'32000925,7.8,7.75,6.6,0,0,0,5,7.5,7.75,7.8,14.4,7.8,22.15
'32002491,7.2,7.75,7.2,0,0,0,4.75,5,7,7.2,14.4,7.2,22.15
'32002636,8,7.5,6.6,8.75,4.75,3.75,0,0,0,21.5,23.35,16.5,22.1
'32000041,7.6,8.5,6,0,0,0,7.75,8.75,8.75,7.6,13.6,7.6,22.1
'32002475,7.6,7.5,7,0,0,0,2.25,6.25,7,7.6,14.6,7.6,22.1
'32001574,7.6,8.5,6,0,0,0,4.75,7.5,8.75,7.6,13.6,7.6,22.1
'32000630,8.2,7.5,6.4,8.5,7.75,6,0,0,0,24.45,23.1,21.95,22.1
'32002761,8.2,8.5,5.4,0,0,0,5.5,6.25,7.25,8.2,13.6,8.2,22.1
'32001000,8.8,5.5,7.8,7.75,4,6,0,0,0,20.55,24.35,18.8,22.1
'32001861,8.4,6.5,7.2,9,9.25,4.5,0,0,0,26.65,24.6,22.15,22.1
'32002815,8.4,7.25,6.4,0,0,0,6.75,7,8.75,8.4,14.8,8.4,22.05
'32002753,7.4,7.25,7.4,0,0,0,3.25,5.75,7.25,7.4,14.8,7.4,22.05
